UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
AC;RODRIGUES ALVES;REBOQUE;0
AC;RODRIGUES ALVES;SEMI-REBOQUE;1
AC;RODRIGUES ALVES;SIDE-CAR;0
AC;RODRIGUES ALVES;OUTROS;0
AC;RODRIGUES ALVES;TRATOR ESTEI;0
AC;RODRIGUES ALVES;TRATOR RODAS;0
AC;RODRIGUES ALVES;TRICICLO;0
AC;RODRIGUES ALVES;UTILITARIO;2
AC;SANTA ROSA DO PURUS;AUTOMOVEL;16
AC;SANTA ROSA DO PURUS;BONDE;0
AC;SANTA ROSA DO PURUS;CAMINHAO;5
AC;SANTA ROSA DO PURUS;CAMINHAO TRATOR;0
AC;SANTA ROSA DO PURUS;CAMINHONETE;22
AC;SANTA ROSA DO PURUS;CAMIONETA;0
AC;SANTA ROSA DO PURUS;CHASSI PLATAF;0
AC;SANTA ROSA DO PURUS;CICLOMOTOR;0
AC;SANTA ROSA DO PURUS;MICRO-ONIBUS;0
AC;SANTA ROSA DO PURUS;MOTOCICLETA;117
AC;SANTA ROSA DO PURUS;MOTONETA;17
AC;SANTA ROSA DO PURUS;ONIBUS;3
AC;SANTA ROSA DO PURUS;QUADRICICLO;0
AC;SANTA ROSA DO PURUS;REBOQUE;3
AC;SANTA ROSA DO PURUS;SEMI-REBOQUE;0
AC;SANTA ROSA DO PURUS;SIDE-CAR;0
AC;SANTA ROSA DO PURUS;OUTROS;0
AC;SANTA ROSA DO PURUS;TRATOR ESTEI;0
AC;SANTA ROSA DO PURUS;TRATOR RODAS;0
AC;SANTA ROSA DO PURUS;TRICICLO;0
AC;SANTA ROSA DO PURUS;UTILITARIO;0
AC;SENA MADUREIRA;AUTOMOVEL;1501
AC;SENA MADUREIRA;BONDE;0
AC;SENA MADUREIRA;CAMINHAO;119
AC;SENA MADUREIRA;CAMINHAO TRATOR;8
AC;SENA MADUREIRA;CAMINHONETE;884
AC;SENA MADUREIRA;CAMIONETA;48
AC;SENA MADUREIRA;CHASSI PLATAF;0
AC;SENA MADUREIRA;CICLOMOTOR;21
AC;SENA MADUREIRA;MICRO-ONIBUS;4
AC;SENA MADUREIRA;MOTOCICLETA;4421
AC;SENA MADUREIRA;MOTONETA;1555
AC;SENA MADUREIRA;ONIBUS;10
AC;SENA MADUREIRA;QUADRICICLO;0
AC;SENA MADUREIRA;REBOQUE;64
AC;SENA MADUREIRA;SEMI-REBOQUE;11
AC;SENA MADUREIRA;SIDE-CAR;0
AC;SENA MADUREIRA;OUTROS;0
AC;SENA MADUREIRA;TRATOR ESTEI;0
AC;SENA MADUREIRA;TRATOR RODAS;0
AC;SENA MADUREIRA;TRICICLO;2
AC;SENA MADUREIRA;UTILITARIO;15
AC;SENADOR GUIOMARD;AUTOMOVEL;2142
AC;SENADOR GUIOMARD;BONDE;0
AC;SENADOR GUIOMARD;CAMINHAO;351
AC;SENADOR GUIOMARD;CAMINHAO TRATOR;65
AC;SENADOR GUIOMARD;CAMINHONETE;759
AC;SENADOR GUIOMARD;CAMIONETA;64
AC;SENADOR GUIOMARD;CHASSI PLATAF;0
AC;SENADOR GUIOMARD;CICLOMOTOR;17
AC;SENADOR GUIOMARD;MICRO-ONIBUS;8
AC;SENADOR GUIOMARD;MOTOCICLETA;2856
AC;SENADOR GUIOMARD;MOTONETA;423
AC;SENADOR GUIOMARD;ONIBUS;35
AC;SENADOR GUIOMARD;QUADRICICLO;0
AC;SENADOR GUIOMARD;REBOQUE;127
AC;SENADOR GUIOMARD;SEMI-REBOQUE;73
AC;SENADOR GUIOMARD;SIDE-CAR;1
AC;SENADOR GUIOMARD;OUTROS;0
AC;SENADOR GUIOMARD;TRATOR ESTEI;0
AC;SENADOR GUIOMARD;TRATOR RODAS;0
AC;SENADOR GUIOMARD;TRICICLO;3
AC;SENADOR GUIOMARD;UTILITARIO;14
AC;TARAUACA;AUTOMOVEL;587
AC;TARAUACA;BONDE;0
AC;TARAUACA;CAMINHAO;153
AC;TARAUACA;CAMINHAO TRATOR;17
AC;TARAUACA;CAMINHONETE;395
AC;TARAUACA;CAMIONETA;47
AC;TARAUACA;CHASSI PLATAF;0
AC;TARAUACA;CICLOMOTOR;6
AC;TARAUACA;MICRO-ONIBUS;22
AC;TARAUACA;MOTOCICLETA;2432
AC;TARAUACA;MOTONETA;1239
AC;TARAUACA;ONIBUS;23
AC;TARAUACA;QUADRICICLO;0
AC;TARAUACA;REBOQUE;16
AC;TARAUACA;SEMI-REBOQUE;17
AC;TARAUACA;SIDE-CAR;0
AC;TARAUACA;OUTROS;0
AC;TARAUACA;TRATOR ESTEI;0
AC;TARAUACA;TRATOR RODAS;0
AC;TARAUACA;TRICICLO;10
AC;TARAUACA;UTILITARIO;17
AC;XAPURI;AUTOMOVEL;824
AC;XAPURI;BONDE;0
AC;XAPURI;CAMINHAO;79
AC;XAPURI;CAMINHAO TRATOR;4
AC;XAPURI;CAMINHONETE;398
AC;XAPURI;CAMIONETA;25
AC;XAPURI;CHASSI PLATAF;1
AC;XAPURI;CICLOMOTOR;3
AC;XAPURI;MICRO-ONIBUS;4
AC;XAPURI;MOTOCICLETA;2594
AC;XAPURI;MOTONETA;308
AC;XAPURI;ONIBUS;7
AC;XAPURI;QUADRICICLO;0
AC;XAPURI;REBOQUE;43
AC;XAPURI;SEMI-REBOQUE;3
AC;XAPURI;SIDE-CAR;1
AC;XAPURI;OUTROS;0
AC;XAPURI;TRATOR ESTEI;0
AC;XAPURI;TRATOR RODAS;0
AC;XAPURI;TRICICLO;2
AC;XAPURI;UTILITARIO;10
AL;AGUA BRANCA;AUTOMOVEL;1050
AL;AGUA BRANCA;BONDE;0
AL;AGUA BRANCA;CAMINHAO;119
AL;AGUA BRANCA;CAMINHAO TRATOR;2
AL;AGUA BRANCA;CAMINHONETE;547
AL;AGUA BRANCA;CAMIONETA;41
AL;AGUA BRANCA;CHASSI PLATAF;0
AL;AGUA BRANCA;CICLOMOTOR;17
AL;AGUA BRANCA;MICRO-ONIBUS;94
AL;AGUA BRANCA;MOTOCICLETA;2340
AL;AGUA BRANCA;MOTONETA;140
AL;AGUA BRANCA;ONIBUS;31
AL;AGUA BRANCA;QUADRICICLO;0
AL;AGUA BRANCA;REBOQUE;24
AL;AGUA BRANCA;SEMI-REBOQUE;10
AL;AGUA BRANCA;SIDE-CAR;0
AL;AGUA BRANCA;OUTROS;0
AL;AGUA BRANCA;TRATOR ESTEI;0
AL;AGUA BRANCA;TRATOR RODAS;0
AL;AGUA BRANCA;TRICICLO;0
AL;AGUA BRANCA;UTILITARIO;4
AL;ANADIA;AUTOMOVEL;1082
AL;ANADIA;BONDE;0
AL;ANADIA;CAMINHAO;46
AL;ANADIA;CAMINHAO TRATOR;1
AL;ANADIA;CAMINHONETE;161
AL;ANADIA;CAMIONETA;92
AL;ANADIA;CHASSI PLATAF;0
AL;ANADIA;CICLOMOTOR;1
AL;ANADIA;MICRO-ONIBUS;35
AL;ANADIA;MOTOCICLETA;1173
AL;ANADIA;MOTONETA;190
AL;ANADIA;ONIBUS;48
AL;ANADIA;QUADRICICLO;0
AL;ANADIA;REBOQUE;49
AL;ANADIA;SEMI-REBOQUE;8
AL;ANADIA;SIDE-CAR;0
AL;ANADIA;OUTROS;0
AL;ANADIA;TRATOR ESTEI;0
AL;ANADIA;TRATOR RODAS;0
AL;ANADIA;TRICICLO;0
AL;ANADIA;UTILITARIO;6
AL;ARAPIRACA;AUTOMOVEL;35028
AL;ARAPIRACA;BONDE;0
AL;ARAPIRACA;CAMINHAO;3032
AL;ARAPIRACA;CAMINHAO TRATOR;466
AL;ARAPIRACA;CAMINHONETE;7174
AL;ARAPIRACA;CAMIONETA;1993
AL;ARAPIRACA;CHASSI PLATAF;1
AL;ARAPIRACA;CICLOMOTOR;1221
AL;ARAPIRACA;MICRO-ONIBUS;408
AL;ARAPIRACA;MOTOCICLETA;44759
AL;ARAPIRACA;MOTONETA;15118
AL;ARAPIRACA;ONIBUS;523
AL;ARAPIRACA;QUADRICICLO;0
AL;ARAPIRACA;REBOQUE;2052
AL;ARAPIRACA;SEMI-REBOQUE;896
AL;ARAPIRACA;SIDE-CAR;10
AL;ARAPIRACA;OUTROS;3
AL;ARAPIRACA;TRATOR ESTEI;0
AL;ARAPIRACA;TRATOR RODAS;0
AL;ARAPIRACA;TRICICLO;38
AL;ARAPIRACA;UTILITARIO;614
AL;ATALAIA;AUTOMOVEL;3722
AL;ATALAIA;BONDE;0
AL;ATALAIA;CAMINHAO;212
AL;ATALAIA;CAMINHAO TRATOR;14
AL;ATALAIA;CAMINHONETE;280
AL;ATALAIA;CAMIONETA;175
AL;ATALAIA;CHASSI PLATAF;0
AL;ATALAIA;CICLOMOTOR;68
AL;ATALAIA;MICRO-ONIBUS;42
AL;ATALAIA;MOTOCICLETA;1620
AL;ATALAIA;MOTONETA;137
AL;ATALAIA;ONIBUS;159
AL;ATALAIA;QUADRICICLO;0
AL;ATALAIA;REBOQUE;406
AL;ATALAIA;SEMI-REBOQUE;58
AL;ATALAIA;SIDE-CAR;0
AL;ATALAIA;OUTROS;0
AL;ATALAIA;TRATOR ESTEI;0
AL;ATALAIA;TRATOR RODAS;0
AL;ATALAIA;TRICICLO;2
AL;ATALAIA;UTILITARIO;16
AL;BARRA DE SANTO ANTONIO;AUTOMOVEL;956
AL;BARRA DE SANTO ANTONIO;BONDE;0
AL;BARRA DE SANTO ANTONIO;CAMINHAO;32
AL;BARRA DE SANTO ANTONIO;CAMINHAO TRATOR;3
AL;BARRA DE SANTO ANTONIO;CAMINHONETE;115
AL;BARRA DE SANTO ANTONIO;CAMIONETA;45
AL;BARRA DE SANTO ANTONIO;CHASSI PLATAF;0
AL;BARRA DE SANTO ANTONIO;CICLOMOTOR;153
AL;BARRA DE SANTO ANTONIO;MICRO-ONIBUS;6
AL;BARRA DE SANTO ANTONIO;MOTOCICLETA;797
AL;BARRA DE SANTO ANTONIO;MOTONETA;55
AL;BARRA DE SANTO ANTONIO;ONIBUS;25
AL;BARRA DE SANTO ANTONIO;QUADRICICLO;0
AL;BARRA DE SANTO ANTONIO;REBOQUE;67
AL;BARRA DE SANTO ANTONIO;SEMI-REBOQUE;14
AL;BARRA DE SANTO ANTONIO;SIDE-CAR;0
AL;BARRA DE SANTO ANTONIO;OUTROS;0
AL;BARRA DE SANTO ANTONIO;TRATOR ESTEI;0
AL;BARRA DE SANTO ANTONIO;TRATOR RODAS;0
AL;BARRA DE SANTO ANTONIO;TRICICLO;0
AL;BARRA DE SANTO ANTONIO;UTILITARIO;8
AL;BARRA DE SAO MIGUEL;AUTOMOVEL;842
AL;BARRA DE SAO MIGUEL;BONDE;0
AL;BARRA DE SAO MIGUEL;CAMINHAO;26
AL;BARRA DE SAO MIGUEL;CAMINHAO TRATOR;1
AL;BARRA DE SAO MIGUEL;CAMINHONETE;127
AL;BARRA DE SAO MIGUEL;CAMIONETA;46
AL;BARRA DE SAO MIGUEL;CHASSI PLATAF;0
AL;BARRA DE SAO MIGUEL;CICLOMOTOR;182
